"Search Terms","Committee on Foreign relations"
"Total Count","36336"
"index","collection","packageId","granuleId","title","detailsLink","pdfLink","htmlLink","xmlLink","otherLink1","otherLink2","teaser","historical","publishdate"
"12","Congressional Committee Prints","CPRT-116SPRT34576","CPRT-116SPRT34576","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-116SPRT34576/CPRT-116SPRT34576","https://www.govinfo.gov/content/pkg/CPRT-116SPRT34576/pdf/CPRT-116SPRT34576.pdf","https://www.govinfo.gov/content/pkg/CPRT-116SPRT34576/html/CPRT-116SPRT34576.htm","","",""," IN TIFF FORMAT] FEBRUARY 2019 Printed for the use of Committee on Foreign Relations U.S. GOVERNMENT PUBLISHING OFFICE 34-576PDF WASHINGTON : 2019 COMMITTEE ON FOREIGN RELATIONS JAMES E. RISCH, Idaho, Chairman MARCO RUBIO, Florida ROBERT MENENDEZ, New Jersey RON JOHNSON, Wisconsin BENJAMIN L. CARDIN, Maryland CORY GARDNER, Colorado JEANNE SHAHEEN...","","2019-02-01"
"13","Congressional Committee Prints","CPRT-109SPRT98278","CPRT-109SPRT98278","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-109SPRT98278/CPRT-109SPRT98278","https://www.govinfo.gov/content/pkg/CPRT-109SPRT98278/pdf/CPRT-109SPRT98278.pdf","https://www.govinfo.gov/content/pkg/CPRT-109SPRT98278/html/CPRT-109SPRT98278.htm","","",""," 98-278 WASHINGTON : 2005 For Sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; (202) 512�091800 Fax: (202) 512�092250 Mail: Stop SSOP, Washington, DC 20402�090001 COMMITTEE ON FOREIGN RELATIONS RICHARD G. LUGAR, Indiana, Chairman CHUCK HAGEL, Nebraska JOSEPH R...","","2006-01-01"
"14","Congressional Committee Prints","CPRT-118SPRT50859","CPRT-118SPRT50859","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-118SPRT50859/CPRT-118SPRT50859","https://www.govinfo.gov/content/pkg/CPRT-118SPRT50859/pdf/CPRT-118SPRT50859.pdf","https://www.govinfo.gov/content/pkg/CPRT-118SPRT50859/html/CPRT-118SPRT50859.htm","","",""," IN TIFF FORMAT] FEBRUARY 2023 Printed for the use of the Committee on Foreign Relations U.S. GOVERNMENT PUBLISHING OFFICE 50-859 PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN RELATIONS ROBERT MENENDEZ, New Jersey, Chairman BENJAMINI L. CARDIN, Maryland JAMES E. RISCH, Idaho JEANNE SHAHEEN, New Hampshire MARCO RUBIO, Florida CHRISTOPHER A. COONS,...","","2023-02-27"
"15","Congressional Committee Prints","CPRT-114SPRT92795","CPRT-114SPRT92795","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-114SPRT92795/CPRT-114SPRT92795","https://www.govinfo.gov/content/pkg/CPRT-114SPRT92795/pdf/CPRT-114SPRT92795.pdf","https://www.govinfo.gov/content/pkg/CPRT-114SPRT92795/html/CPRT-114SPRT92795.htm","","",""," for the use of the Committee on Foreign Relations U.S. GOVERNMENT PUBLISHING OFFICE 92-795PDF WASHINGTON : 2015 For sale by the Superintendent of Documents, U.S. Government Publishing Office, Internet:bookstore.gpo.gov. Phone:toll free (866)512-1800;DC area (202)512-1800 Fax:(202) 512-2104 Mail:Stop IDCC,Washington,DC 20402-001 COMMITTEE ON ...","","2015-01-01"
"16","Congressional Committee Prints","CPRT-117SPRT43443","CPRT-117SPRT43443","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-117SPRT43443/CPRT-117SPRT43443","https://www.govinfo.gov/content/pkg/CPRT-117SPRT43443/pdf/CPRT-117SPRT43443.pdf","https://www.govinfo.gov/content/pkg/CPRT-117SPRT43443/html/CPRT-117SPRT43443.htm","","",""," IN TIFF FORMAT] February 22, 2021 Printed for the use of the Committee on Foreign Relations ______ U.S. GOVERNMENT PUBLISHING OFFICE 43-443 PDF WASHINGTON : 2021 COMMITTEE ON FOREIGN RELATIONS ROBERT MENENDEZ, New Jersey, Chairman BENJAMIN L. CARDIN, Maryland JAMES E. RISCH, Idaho JEANNE SHAHEEN, New Hampshire MARCO RUBIO, Florida ...","","2021-02-22"
"17","Congressional Committee Prints","CPRT-114SPRT25478","CPRT-114SPRT25478","BUSINESS MEETINGS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-114SPRT25478/CPRT-114SPRT25478","https://www.govinfo.gov/content/pkg/CPRT-114SPRT25478/pdf/CPRT-114SPRT25478.pdf","https://www.govinfo.gov/content/pkg/CPRT-114SPRT25478/html/CPRT-114SPRT25478.htm","","",""," Fourteenth Congress Second Session January 4, 2016 to January 3, 2017 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Printed for the use of the Committee on Foreign Relations Available via World Wide Web: http://www.gpoaccess.gov/congress/index.html ______ U.S. GOVERNMENT PUBLISHING OFFICE 25-478 PDF WASHINGTON : 2017 For sale by the Superintendent...","","2016-01-04"
"18","Congressional Committee Prints","CPRT-111SPRT46762","CPRT-111SPRT46762","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-111SPRT46762/CPRT-111SPRT46762","https://www.govinfo.gov/content/pkg/CPRT-111SPRT46762/pdf/CPRT-111SPRT46762.pdf","https://www.govinfo.gov/content/pkg/CPRT-111SPRT46762/html/CPRT-111SPRT46762.htm","","",""," use of the Committee on Foreign Relations U.S. GOVERNMENT PRINTING OFFICE 46-762 PDF WASHINGTON : 2009 For sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) 512-1800 Fax: (202) 512-2104 Mail: Stop IDCC, Washington, DC 20402-0001 COMMITTEE ON FOREIGN...","","2009-02-01"
"19","Congressional Committee Prints","CPRT-96SPRT68920O","CPRT-96SPRT68920O","NATO--a status report: a report to the Committee on Foreign Relations, United States Senate.","https://www.govinfo.gov/app/details/CPRT-96SPRT68920O/CPRT-96SPRT68920O","https://www.govinfo.gov/content/pkg/CPRT-96SPRT68920O/pdf/CPRT-96SPRT68920O.pdf","","","",""," RELATIONS UNITED STATES SENATE co UJ m ru CD ru tr □ CO r OCTOBER 1980 Printed for the use of the Committee on Foreign Relations 68-920 O U.S. GOVERNMENT PRINTING OFFICE WASHINGTON: 1980 COMMITTEE ON FOREIGN RELATIONS FRANK CHURCH, Idaho, Chairman CLAIBORNE PELL, Rhode Island GEORGE MCGOVERN, South Dakota JOSEPH R. BIDEN, Jr., Delaware JOHN ...","","1980-10-01"
"20","Congressional Committee Prints","CPRT-113SPRT78853","CPRT-113SPRT78853","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-113SPRT78853/CPRT-113SPRT78853","https://www.govinfo.gov/content/pkg/CPRT-113SPRT78853/pdf/CPRT-113SPRT78853.pdf","https://www.govinfo.gov/content/pkg/CPRT-113SPRT78853/html/CPRT-113SPRT78853.htm","","",""," for the use of the Committee on Foreign Relations _____ U.S. GOVERNMENT PRINTING OFFICE 78-853 PDF WASHINGTON : 2013 For sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) 512-1800 Fax: (202) 512-2104 Mail: Stop IDCC, Washington, DC 20402-0001 ...","","2013-02-01"
"21","Congressional Committee Prints","CPRT-118SPRT53580","CPRT-118SPRT53580","RULES OF THE COMMITTEE ON FOREIGN RELATIONS (Adopted September 27, 2023)","https://www.govinfo.gov/app/details/CPRT-118SPRT53580/CPRT-118SPRT53580","https://www.govinfo.gov/content/pkg/CPRT-118SPRT53580/pdf/CPRT-118SPRT53580.pdf","https://www.govinfo.gov/content/pkg/CPRT-118SPRT53580/html/CPRT-118SPRT53580.htm","","",""," IN TIFF FORMAT] SEPTEMBER 2023 Printed for the use of the Committee on Foreign Relations U.S. GOVERNMENT PUBLISHING OFFICE 53-580 PDF WASHINGTON : 2023 COMMITTEE ON FOREGIN RELATIONS BENJAMIN L. CARDIN, Maryland, Chairman ROBERT MENENDEZ, New Jersey JAMES E. RISCH, Idaho JEANNE SHAHEEN, New Hampshire MARCO RUBIO, Florida CHRISTOPHER A. COONS, ...","","2023-09-01"
"22","Congressional Committee Prints","CPRT-114SPRT98734","CPRT-114SPRT98734","BUSINESS MEETINGS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-114SPRT98734/CPRT-114SPRT98734","https://www.govinfo.gov/content/pkg/CPRT-114SPRT98734/pdf/CPRT-114SPRT98734.pdf","https://www.govinfo.gov/content/pkg/CPRT-114SPRT98734/html/CPRT-114SPRT98734.htm","","",""," Fourteenth Congress First Session January 6, 2015 to December 18, 2015 Printed for the use of the Committee on Foreign Relations Available via World Wide Web: http://www.gpoaccess.gov/congress/index.html U.S. GOVERNMENT PUBLISHING OFFICE 98-734 PDF WASHINGTON : 2016 For sale by the Superintendent of Documents, U.S. Government Publishing Office, ...","","2015-01-06"
"23","Congressional Committee Prints","CPRT-110SPRT33737","CPRT-110SPRT33737","RULES OF THE COMMITTEE ON FOREIGN RELATIONS (Adopted March 6, 2007)","https://www.govinfo.gov/app/details/CPRT-110SPRT33737/CPRT-110SPRT33737","https://www.govinfo.gov/content/pkg/CPRT-110SPRT33737/pdf/CPRT-110SPRT33737.pdf","https://www.govinfo.gov/content/pkg/CPRT-110SPRT33737/html/CPRT-110SPRT33737.htm","","",""," Committee on Foreign Relations ______ U.S. GOVERNMENT PRINTING OFFICE 33-737 PDF WASHINGTON : 2007 For sale by Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) 512-1800 Fax: (202) 512-2250. Mail: Stop SSOP, Washington, DC 20402-0001 COMMITTEE ON FOREGIN ...","","2008-01-01"
"24","Congressional Committee Prints","CPRT-95SPRT93404","CPRT-95SPRT93404","The Middle East, June 1977: report to the Committee on Foreign Relations, United States Senate.","https://www.govinfo.gov/app/details/CPRT-95SPRT93404/CPRT-95SPRT93404","https://www.govinfo.gov/content/pkg/CPRT-95SPRT93404/pdf/CPRT-95SPRT93404.pdf","","","",""," 1977 REPORT TO THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE BY SENATOR RICHARD STONE, Florida, Chairman, NEAR EAST AND SOUTH ASIAN AFFAIRS SUBCOMMITTEE ru CZ> — □ ru ir □ □ JULY 1977 Printed for the use of the Committee on Foreign Relations 93-494 U.S. GOVERNMENT PRINTING OFFICE WASHINGTON : 1977 Y Afi 81J J J 3 8 P.A •’ YT1<#3VIMU ...","","1977-07-01"
"25","Congressional Committee Prints","CPRT-95SPRT23748","CPRT-95SPRT23748","U.S. corporate interests in South Africa: report to the Committee on Foreign Relations, United States Senate.","https://www.govinfo.gov/app/details/CPRT-95SPRT23748/CPRT-95SPRT23748","https://www.govinfo.gov/content/pkg/CPRT-95SPRT23748/pdf/CPRT-95SPRT23748.pdf","","","",""," RELATIONS UNITED STATES SENATE BY SENATOR DICK CLARK, Iowa, Chairman SUBCOMMITTEE ON AFRICAN AFFAIRS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE M 00 UI JANUARY 1978□ □ Printed for the use of the Committee on Foreign Relations 23-748 U.S. GOVERNMENT PRINTING OFFICE WASHINGTON: 1978 A1 12 07 85 83 62 COMMITTEE ON FOREIGN RELATIONS ...","","1978-01-01"
"26","Congressional Committee Prints","CPRT-87SPRT84985","CPRT-87SPRT84985","Additional materials on administration of the Department of State: Committee on Foreign Relations, United States Senate, July 31, 1962.","https://www.govinfo.gov/app/details/CPRT-87SPRT84985/CPRT-87SPRT84985","https://www.govinfo.gov/content/pkg/CPRT-87SPRT84985/pdf/CPRT-87SPRT84985.pdf","","","",""," ON FOREIGN RELATIONS JULY 31, 1962 Printed for the use of the Committee on Foreign Relations 84985 U.S. GOVERNMENT PRINTING OFFICE WASHINGTON : 1962 COMMITTEE ON FOREIGN RELATIONS J. W. FULBRIGHT, Arkansas, Chairman JOHN SPARKMAN, Alabama HUBERT H. HUMPHREY, Minnesota MIKE MANSFIELD, Montana WAYNE MORSE, Oregon RUSSELL B. LONG, Louisiana ALBERT ...","","1962-07-31"
"27","Congressional Committee Prints","CPRT-115SPRT34813","CPRT-115SPRT34813","BUSINESS MEETINGS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Fifteenth Congress Second Session January 3, 2018 to January 3, 2019","https://www.govinfo.gov/app/details/CPRT-115SPRT34813/CPRT-115SPRT34813","https://www.govinfo.gov/content/pkg/CPRT-115SPRT34813/pdf/CPRT-115SPRT34813.pdf","https://www.govinfo.gov/content/pkg/CPRT-115SPRT34813/html/CPRT-115SPRT34813.htm","","",""," Fifteenth Congress Second Session January 3, 2018 to January 3, 2019 [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Printed for the use of the Committee on Foreign Relations Available via the World Wide Web: http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 34-813 PDF WASHINGTON : 2019 COMMITTEE ON FOREIGN RELATIONS BOB CORKER, Tennessee, ...","","2018-01-03"
"28","Congressional Committee Prints","CPRT-115SPRT31321","CPRT-115SPRT31321","BUSINESS MEETINGS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Fifteenth Congress First Session January 3, 2017 to January 3, 2018","https://www.govinfo.gov/app/details/CPRT-115SPRT31321/CPRT-115SPRT31321","https://www.govinfo.gov/content/pkg/CPRT-115SPRT31321/pdf/CPRT-115SPRT31321.pdf","https://www.govinfo.gov/content/pkg/CPRT-115SPRT31321/html/CPRT-115SPRT31321.htm","","",""," Fifteenth Congress First Session January 3, 2017 to January 3, 2018 [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.fdsys.gov U.S. GOVERNMENT PUBLISHING OFFICE 31-321 PDF WASHINGTON : 2018 For sale by the Superintendent of Documents, U.S. Government Publishing Office, http://bookstore.gpo.gov. For more ...","","2017-01-03"
"29","Congressional Committee Prints","CPRT-90SPRT76627O","CPRT-90SPRT76627O","War or peace in the Middle East?: report to the Committee on Foreign Relations, United States Senate.","https://www.govinfo.gov/app/details/CPRT-90SPRT76627O/CPRT-90SPRT76627O","https://www.govinfo.gov/content/pkg/CPRT-90SPRT76627O/pdf/CPRT-90SPRT76627O.pdf","","","",""," JJNITED SPATES. SENATE / BY Senator Joseph S. Clark ON A TUDY MISSION TO GREECE, THE UNITED ARAB REPUBLIC, JORDAN, AND ISRAEL O ru —— r 76-627 o □ □ APRIL 10, 1967 UMMS SUTt MW Printed for the use of the Committee on Foreign Relations U.S. GOVERNMENT PRINTING OFFICE WASHINGTON : 1967 COMMITTEE ON FOREIGN RELATIONS J. W. FULBRIGHT, Arkansas, ...","","1967-04-10"
"30","Congressional Committee Prints","CPRT-116SPRT45166","CPRT-116SPRT45166","BUSINESS MEETINGS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE DURING THE ONE HUNDRED SIXTEENTH CONGRESS FIRST SESSION JANUARY 3, 2019 TO JANUARY 3, 2020","https://www.govinfo.gov/app/details/CPRT-116SPRT45166/CPRT-116SPRT45166","https://www.govinfo.gov/content/pkg/CPRT-116SPRT45166/pdf/CPRT-116SPRT45166.pdf","https://www.govinfo.gov/content/pkg/CPRT-116SPRT45166/html/CPRT-116SPRT45166.htm","","",""," ONE HUNDRED SIXTEENTH CONGRESS First Session January 3, 2019 to January 3, 2020 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Printed for the use of the Committee on Foreign Relations Available via the World Wide Web: http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 45-166 PDF WASHINGTON : 2021 COMMITTEE ON FOREIGN RELATIONS JAMES E. RISCH, ...","","2019-01-03"
"31","Congressional Committee Prints","CPRT-108JPRT85199","CPRT-108JPRT85199","EXPLANATION OF PROPOSED INCOME TAX TREATY BETWEEN THE UNITED STATES AND THE UNITED KINGDOM Scheduled for a Hearing before the COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE ON MARCH 5, 2003","https://www.govinfo.gov/app/details/CPRT-108JPRT85199/CPRT-108JPRT85199","https://www.govinfo.gov/content/pkg/CPRT-108JPRT85199/pdf/CPRT-108JPRT85199.pdf","https://www.govinfo.gov/content/pkg/CPRT-108JPRT85199/html/CPRT-108JPRT85199.htm","","",""," COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE ON MARCH 5, 2003 Prepared by the Staff of the JOINT COMMITTEE ON TAXATION [GRAPHIC] [TIFF OMITTED] TONGRESS.#13 March 3, 2003 U.S. GOVERNMENT PRINTING OFFICE 85-199 WASHINGTON : 2003 JCS-4-03 JOINT COMMITTEE ON TAXATION 108th Congress, 1st Session ------ HOUSE SENATE WILLIAM M. THOMAS, California...","","2003-03-03"
